Value,DEM Source
-124,PRISM (2 scenes)
-123,PRISM (3 scenes)
-55,SRTM (1 swaths)
-54,SRTM (2 swaths)
-53,SRTM (3 swaths)
-6,Interpolation
2,GDEM V3 (2 scenes)
3,GDEM V3 (3 scenes)
4,GDEM V3 (4 scenes)
5,GDEM V3 (5 scenes)
6,GDEM V3 (6 scenes)
7,GDEM V3 (7 scenes)
8,GDEM V3 (8 scenes)
9,GDEM V3 (9 scenes)
10,GDEM V3 (10 scenes)
11,GDEM V3 (11 scenes)
12,GDEM V3 (12 scenes)
13,GDEM V3 (13 scenes)
14,GDEM V3 (14 scenes)
15,GDEM V3 (15 scenes)
16,GDEM V3 (16 scenes)
17,GDEM V3 (17 scenes)
18,GDEM V3 (18 scenes)
19,GDEM V3 (19 scenes)
20,GDEM V3 (20 scenes)
21,GDEM V3 (21 scenes)
22,GDEM V3 (22 scenes)
23,GDEM V3 (23 scenes)
24,GDEM V3 (24 scenes)
25,GDEM V3 (25 scenes)
26,GDEM V3 (26 scenes)
27,GDEM V3 (27 scenes)
28,GDEM V3 (28 scenes)
29,GDEM V3 (29 scenes)
30,GDEM V3 (30 scenes)
31,GDEM V3 (31 scenes)
32,GDEM V3 (32 scenes)
33,GDEM V3 (33 scenes)
62,GDEM V2 (2 scenes)
65,GDEM V2 (5 scenes)
66,GDEM V2 (6 scenes)
67,GDEM V2 (7 scenes)
68,GDEM V2 (8 scenes)
69,GDEM V2 (9 scenes)
70,GDEM V2 (10 scenes)
71,GDEM V2 (11 scenes)
72,GDEM V2 (12 scenes)
73,GDEM V2 (13 scenes)
74,GDEM V2 (14 scenes)
75,GDEM V2 (15 scenes)
76,GDEM V2 (16 scenes)
78,GDEM V2 (18 scenes)
